Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:279: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 8 | step: 30 | reward: 2.0312 | episode length: 3.5
episode: 13 | step: 60 | reward: 3.0000 | episode length: 5.2
episode: 19 | step: 90 | reward: 3.2500 | episode length: 5.833333333333333
episode: 26 | step: 120 | reward: 2.2500 | episode length: 4.142857142857143
episode: 36 | step: 150 | reward: 1.6750 | episode length: 3.0
episode: 43 | step: 180 | reward: 2.0714 | episode length: 4.0
episode: 53 | step: 210 | reward: 2.0250 | episode length: 3.3
episode: 59 | step: 240 | reward: 2.3333 | episode length: 4.333333333333333
episode: 67 | step: 270 | reward: 2.2500 | episode length: 4.0
episode: 75 | step: 300 | reward: 2.2500 | episode length: 3.75
episode: 80 | step: 330 | reward: 4.0000 | episode length: 6.4
episode: 88 | step: 360 | reward: 2.0000 | episode length: 3.5
episode: 96 | step: 390 | reward: 2.1875 | episode length: 4.0
episode: 104 | step: 420 | reward: 1.9375 | episode length: 3.375
episode: 113 | step: 450 | reward: 2.1944 | episode length: 3.5555555555555554
episode: 120 | step: 480 | reward: 2.3929 | episode length: 4.428571428571429
episode: 125 | step: 510 | reward: 3.5500 | episode length: 5.6
episode: 134 | step: 540 | reward: 2.1111 | episode length: 3.5555555555555554
episode: 140 | step: 570 | reward: 2.7500 | episode length: 4.5
episode: 147 | step: 600 | reward: 2.7857 | episode length: 4.571428571428571
episode: 155 | step: 630 | reward: 2.0000 | episode length: 3.75
episode: 161 | step: 660 | reward: 2.7500 | episode length: 5.166666666666667
episode: 170 | step: 690 | reward: 2.0000 | episode length: 3.3333333333333335
episode: 176 | step: 720 | reward: 2.7500 | episode length: 4.666666666666667
episode: 184 | step: 750 | reward: 2.1250 | episode length: 3.75
episode: 191 | step: 780 | reward: 2.5714 | episode length: 4.428571428571429
episode: 198 | step: 810 | reward: 1.9643 | episode length: 3.857142857142857
episode: 207 | step: 840 | reward: 2.1111 | episode length: 3.5555555555555554
episode: 213 | step: 870 | reward: 2.5417 | episode length: 4.333333333333333
episode: 223 | step: 900 | reward: 2.0250 | episode length: 3.4
episode: 230 | step: 930 | reward: 2.7500 | episode length: 4.571428571428571
episode: 238 | step: 960 | reward: 1.9062 | episode length: 3.5
episode: 242 | step: 990 | reward: 3.0000 | episode length: 5.25
