Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:279: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 8 | step: 30 | reward: 1.8125 | episode length: 3.375
episode: 15 | step: 60 | reward: 2.3929 | episode length: 4.285714285714286
episode: 23 | step: 90 | reward: 2.2812 | episode length: 3.875
episode: 31 | step: 120 | reward: 2.1875 | episode length: 3.875
episode: 38 | step: 150 | reward: 2.0357 | episode length: 3.5714285714285716
episode: 45 | step: 180 | reward: 3.0000 | episode length: 5.0
episode: 52 | step: 210 | reward: 2.1429 | episode length: 4.0
episode: 61 | step: 240 | reward: 1.9722 | episode length: 3.5555555555555554
episode: 67 | step: 270 | reward: 2.5417 | episode length: 4.666666666666667
episode: 75 | step: 300 | reward: 2.4688 | episode length: 4.0
episode: 83 | step: 330 | reward: 2.1562 | episode length: 3.625
episode: 91 | step: 360 | reward: 2.1875 | episode length: 3.5
episode: 97 | step: 390 | reward: 2.8750 | episode length: 5.5
episode: 106 | step: 420 | reward: 1.8611 | episode length: 3.2222222222222223
episode: 112 | step: 450 | reward: 2.6667 | episode length: 4.833333333333333
episode: 122 | step: 480 | reward: 1.6750 | episode length: 3.1
episode: 131 | step: 510 | reward: 1.7222 | episode length: 3.3333333333333335
episode: 140 | step: 540 | reward: 1.6111 | episode length: 3.111111111111111
episode: 146 | step: 570 | reward: 3.1250 | episode length: 5.5
episode: 151 | step: 600 | reward: 3.2000 | episode length: 5.6
episode: 158 | step: 630 | reward: 2.1786 | episode length: 3.7142857142857144
episode: 166 | step: 660 | reward: 2.5938 | episode length: 4.375
episode: 173 | step: 690 | reward: 2.8214 | episode length: 4.428571428571429
episode: 180 | step: 720 | reward: 2.4643 | episode length: 4.142857142857143
episode: 188 | step: 750 | reward: 2.0312 | episode length: 3.625
episode: 193 | step: 780 | reward: 3.5000 | episode length: 6.0
episode: 201 | step: 810 | reward: 2.3438 | episode length: 3.875
episode: 209 | step: 840 | reward: 2.0938 | episode length: 3.75
episode: 217 | step: 870 | reward: 2.1250 | episode length: 3.875
episode: 225 | step: 900 | reward: 1.8750 | episode length: 3.5
episode: 233 | step: 930 | reward: 2.4062 | episode length: 3.875
episode: 242 | step: 960 | reward: 2.0000 | episode length: 3.4444444444444446
episode: 248 | step: 990 | reward: 2.3750 | episode length: 4.666666666666667
