Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:301: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 6 | step: 30 | reward: 2.6250 | episode length: 4.5
episode: 15 | step: 60 | reward: 1.6389 | episode length: 3.3333333333333335
episode: 23 | step: 90 | reward: 2.3438 | episode length: 3.875
episode: 30 | step: 120 | reward: 2.2143 | episode length: 4.0
episode: 38 | step: 150 | reward: 2.2500 | episode length: 4.0
episode: 44 | step: 180 | reward: 2.8333 | episode length: 4.333333333333333
episode: 52 | step: 210 | reward: 2.5000 | episode length: 3.875
episode: 60 | step: 240 | reward: 2.1875 | episode length: 3.875
episode: 69 | step: 270 | reward: 1.9722 | episode length: 3.6666666666666665
episode: 75 | step: 300 | reward: 2.8333 | episode length: 4.5
episode: 82 | step: 330 | reward: 2.5357 | episode length: 4.571428571428571
episode: 88 | step: 360 | reward: 2.2500 | episode length: 4.333333333333333
episode: 95 | step: 390 | reward: 2.6071 | episode length: 4.571428571428571
episode: 103 | step: 420 | reward: 2.1562 | episode length: 4.0
episode: 110 | step: 450 | reward: 2.3571 | episode length: 4.428571428571429
episode: 120 | step: 480 | reward: 1.6750 | episode length: 3.0
episode: 128 | step: 510 | reward: 1.8750 | episode length: 3.25
episode: 137 | step: 540 | reward: 1.9444 | episode length: 3.5555555555555554
episode: 146 | step: 570 | reward: 1.9722 | episode length: 3.5555555555555554
episode: 152 | step: 600 | reward: 3.3333 | episode length: 4.833333333333333
episode: 161 | step: 630 | reward: 1.8889 | episode length: 3.111111111111111
episode: 167 | step: 660 | reward: 2.9583 | episode length: 5.333333333333333
episode: 175 | step: 690 | reward: 2.1875 | episode length: 3.75
episode: 182 | step: 720 | reward: 2.1071 | episode length: 4.0
episode: 191 | step: 750 | reward: 2.0000 | episode length: 3.5555555555555554
episode: 197 | step: 780 | reward: 2.8750 | episode length: 5.0
episode: 205 | step: 810 | reward: 1.9062 | episode length: 3.375
episode: 214 | step: 840 | reward: 1.9444 | episode length: 3.4444444444444446
episode: 221 | step: 870 | reward: 2.6786 | episode length: 4.428571428571429
episode: 227 | step: 900 | reward: 2.8750 | episode length: 5.166666666666667
episode: 235 | step: 930 | reward: 2.5000 | episode length: 3.875
episode: 242 | step: 960 | reward: 2.4286 | episode length: 4.0
episode: 251 | step: 990 | reward: 2.0833 | episode length: 3.5555555555555554
episode: 260 | step: 1020 | reward: 1.5556 | episode length: 3.3333333333333335
episode: 269 | step: 1050 | reward: 1.9167 | episode length: 3.3333333333333335
episode: 277 | step: 1080 | reward: 2.0625 | episode length: 3.625
episode: 286 | step: 1110 | reward: 1.8056 | episode length: 3.0
episode: 294 | step: 1140 | reward: 2.3438 | episode length: 4.25
episode: 300 | step: 1170 | reward: 2.2500 | episode length: 4.166666666666667
episode: 309 | step: 1200 | reward: 2.1111 | episode length: 3.5555555555555554
episode: 316 | step: 1230 | reward: 2.1429 | episode length: 3.7142857142857144
episode: 323 | step: 1260 | reward: 2.7500 | episode length: 4.571428571428571
episode: 332 | step: 1290 | reward: 2.4167 | episode length: 3.888888888888889
episode: 338 | step: 1320 | reward: 2.7500 | episode length: 4.5
episode: 344 | step: 1350 | reward: 3.4583 | episode length: 5.333333333333333
episode: 349 | step: 1380 | reward: 2.9000 | episode length: 5.0
episode: 358 | step: 1410 | reward: 2.0556 | episode length: 3.888888888888889
episode: 367 | step: 1440 | reward: 2.1667 | episode length: 3.4444444444444446
episode: 377 | step: 1470 | reward: 1.5250 | episode length: 2.8
episode: 385 | step: 1500 | reward: 2.0000 | episode length: 3.625
episode: 391 | step: 1530 | reward: 2.1667 | episode length: 4.5
episode: 401 | step: 1560 | reward: 1.9000 | episode length: 3.4
episode: 409 | step: 1590 | reward: 2.0625 | episode length: 3.875
