Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:302: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 7 | step: 30 | reward: 2.5714 | episode length: 4.142857142857143
episode: 13 | step: 60 | reward: 2.7083 | episode length: 4.666666666666667
episode: 25 | step: 90 | reward: 1.4375 | episode length: 2.6666666666666665
episode: 33 | step: 120 | reward: 2.0625 | episode length: 3.75
episode: 39 | step: 150 | reward: 2.4167 | episode length: 4.333333333333333
episode: 47 | step: 180 | reward: 2.4062 | episode length: 4.0
episode: 53 | step: 210 | reward: 2.3333 | episode length: 4.333333333333333
episode: 60 | step: 240 | reward: 3.1786 | episode length: 5.0
episode: 69 | step: 270 | reward: 1.5556 | episode length: 2.888888888888889
episode: 75 | step: 300 | reward: 3.1667 | episode length: 5.333333333333333
episode: 82 | step: 330 | reward: 2.4643 | episode length: 4.285714285714286
episode: 91 | step: 360 | reward: 1.9167 | episode length: 3.6666666666666665
episode: 99 | step: 390 | reward: 1.9062 | episode length: 3.375
episode: 107 | step: 420 | reward: 2.3438 | episode length: 4.0
episode: 113 | step: 450 | reward: 2.7083 | episode length: 4.666666666666667
episode: 118 | step: 480 | reward: 3.1000 | episode length: 5.4
episode: 127 | step: 510 | reward: 2.0833 | episode length: 4.0
episode: 135 | step: 540 | reward: 1.9688 | episode length: 3.375
episode: 144 | step: 570 | reward: 2.1389 | episode length: 3.6666666666666665
episode: 152 | step: 600 | reward: 1.9375 | episode length: 3.5
episode: 160 | step: 630 | reward: 2.0000 | episode length: 3.5
episode: 169 | step: 660 | reward: 2.0278 | episode length: 3.6666666666666665
episode: 175 | step: 690 | reward: 2.4583 | episode length: 4.5
episode: 183 | step: 720 | reward: 2.3125 | episode length: 4.125
episode: 191 | step: 750 | reward: 2.0938 | episode length: 3.5
episode: 201 | step: 780 | reward: 1.9000 | episode length: 3.3
episode: 210 | step: 810 | reward: 1.6389 | episode length: 2.888888888888889
episode: 218 | step: 840 | reward: 2.5938 | episode length: 4.25
episode: 226 | step: 870 | reward: 2.2188 | episode length: 3.625
episode: 233 | step: 900 | reward: 2.5000 | episode length: 4.428571428571429
episode: 240 | step: 930 | reward: 2.3214 | episode length: 4.0
episode: 248 | step: 960 | reward: 2.4375 | episode length: 3.875
episode: 253 | step: 990 | reward: 3.5500 | episode length: 6.2
episode: 261 | step: 1020 | reward: 2.1562 | episode length: 3.5
episode: 268 | step: 1050 | reward: 2.3929 | episode length: 4.285714285714286
episode: 275 | step: 1080 | reward: 2.2857 | episode length: 4.142857142857143
episode: 282 | step: 1110 | reward: 2.8929 | episode length: 4.571428571428571
episode: 289 | step: 1140 | reward: 2.2857 | episode length: 3.857142857142857
episode: 295 | step: 1170 | reward: 3.2917 | episode length: 5.333333333333333
episode: 303 | step: 1200 | reward: 1.8438 | episode length: 3.5
episode: 308 | step: 1230 | reward: 3.5500 | episode length: 6.2
episode: 317 | step: 1260 | reward: 1.8889 | episode length: 3.4444444444444446
episode: 326 | step: 1290 | reward: 1.8611 | episode length: 3.4444444444444446
episode: 333 | step: 1320 | reward: 2.3571 | episode length: 4.285714285714286
episode: 344 | step: 1350 | reward: 1.3409 | episode length: 2.6363636363636362
episode: 354 | step: 1380 | reward: 1.9000 | episode length: 3.2
episode: 364 | step: 1410 | reward: 1.7250 | episode length: 2.9
episode: 371 | step: 1440 | reward: 2.7143 | episode length: 4.428571428571429
episode: 379 | step: 1470 | reward: 2.1562 | episode length: 3.75
episode: 385 | step: 1500 | reward: 2.5417 | episode length: 4.333333333333333
episode: 393 | step: 1530 | reward: 2.2812 | episode length: 3.75
episode: 402 | step: 1560 | reward: 2.1944 | episode length: 3.7777777777777777
episode: 408 | step: 1590 | reward: 2.8333 | episode length: 4.833333333333333
episode: 415 | step: 1620 | reward: 2.3214 | episode length: 4.142857142857143
episode: 424 | step: 1650 | reward: 1.6389 | episode length: 3.2222222222222223
episode: 432 | step: 1680 | reward: 1.9688 | episode length: 3.75
episode: 440 | step: 1710 | reward: 2.4062 | episode length: 4.125
episode: 446 | step: 1740 | reward: 3.0833 | episode length: 4.833333333333333
episode: 453 | step: 1770 | reward: 2.3571 | episode length: 4.142857142857143
episode: 460 | step: 1800 | reward: 2.3214 | episode length: 4.0
episode: 469 | step: 1830 | reward: 2.0278 | episode length: 3.6666666666666665
episode: 475 | step: 1860 | reward: 2.5000 | episode length: 4.666666666666667
episode: 483 | step: 1890 | reward: 2.3125 | episode length: 4.125
episode: 492 | step: 1920 | reward: 1.9444 | episode length: 3.3333333333333335
episode: 500 | step: 1950 | reward: 2.0938 | episode length: 3.625
episode: 507 | step: 1980 | reward: 2.7143 | episode length: 4.428571428571429
episode: 514 | step: 2010 | reward: 2.1071 | episode length: 3.857142857142857
episode: 519 | step: 2040 | reward: 3.5000 | episode length: 6.0
episode: 525 | step: 2070 | reward: 3.0000 | episode length: 5.166666666666667
episode: 532 | step: 2100 | reward: 2.6071 | episode length: 4.428571428571429
episode: 540 | step: 2130 | reward: 1.9688 | episode length: 3.625
episode: 549 | step: 2160 | reward: 1.5556 | episode length: 3.0
episode: 559 | step: 2190 | reward: 2.0750 | episode length: 3.5
episode: 566 | step: 2220 | reward: 2.4643 | episode length: 4.285714285714286
episode: 572 | step: 2250 | reward: 2.7500 | episode length: 4.333333333333333
episode: 581 | step: 2280 | reward: 2.1111 | episode length: 3.6666666666666665
episode: 589 | step: 2310 | reward: 2.2500 | episode length: 3.75
episode: 597 | step: 2340 | reward: 2.1875 | episode length: 3.875
episode: 606 | step: 2370 | reward: 1.7500 | episode length: 3.2222222222222223
episode: 615 | step: 2400 | reward: 1.7778 | episode length: 3.111111111111111
episode: 625 | step: 2430 | reward: 1.6000 | episode length: 3.0
episode: 633 | step: 2460 | reward: 2.3438 | episode length: 4.125
episode: 643 | step: 2490 | reward: 1.6250 | episode length: 2.9
episode: 652 | step: 2520 | reward: 1.8056 | episode length: 3.3333333333333335
