2025-05-05 16:36:07,090 INFO    MainThread:15344 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_setup.py:_flush():79] Configure stats pid to 15344
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_setup.py:_flush():79] Loading settings from /home/adithyaa/.config/wandb/settings
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_setup.py:_flush():79] Loading settings from /home/adithyaa/KTH/battlesnake/wandb/settings
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'ppo_basic.py', 'program_abspath': '/home/adithyaa/KTH/battlesnake/ppo_basic.py', 'program': 'ppo_basic.py'}
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_init.py:_log_setup():533] Logging user logs to /home/adithyaa/KTH/battlesnake/wandb/run-20250505_163607-iwjcpsj9/logs/debug.log
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_init.py:_log_setup():534] Logging internal logs to /home/adithyaa/KTH/battlesnake/wandb/run-20250505_163607-iwjcpsj9/logs/debug-internal.log
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_init.py:init():619] calling init triggers
2025-05-05 16:36:07,091 INFO    MainThread:15344 [wandb_init.py:init():627] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'architecture': 'CNN+PPO', 'dataset': 'BattleSnake'}
2025-05-05 16:36:07,092 INFO    MainThread:15344 [wandb_init.py:init():669] starting backend
2025-05-05 16:36:07,092 INFO    MainThread:15344 [wandb_init.py:init():673] sending inform_init request
2025-05-05 16:36:07,096 INFO    MainThread:15344 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-05 16:36:07,097 INFO    MainThread:15344 [wandb_init.py:init():686] backend started and connected
2025-05-05 16:36:07,108 INFO    MainThread:15344 [wandb_init.py:init():781] updated telemetry
2025-05-05 16:36:07,118 INFO    MainThread:15344 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-05-05 16:36:07,633 INFO    MainThread:15344 [wandb_init.py:init():867] starting run threads in backend
2025-05-05 16:36:07,719 INFO    MainThread:15344 [wandb_run.py:_console_start():2456] atexit reg
2025-05-05 16:36:07,719 INFO    MainThread:15344 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-05-05 16:36:07,719 INFO    MainThread:15344 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-05-05 16:36:07,719 INFO    MainThread:15344 [wandb_run.py:_redirect():2395] Redirects installed.
2025-05-05 16:36:07,723 INFO    MainThread:15344 [wandb_init.py:init():911] run started, returning control to user process
2025-05-05 16:36:10,065 WARNING MsgRouterThr:15344 [router.py:message_loop():75] message_loop has been closed
