Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:303: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 53 | step: 200 | reward: 2.1085 | episode length: 3.69811320754717
episode: 101 | step: 400 | reward: 2.4010 | episode length: 4.1875
episode: 155 | step: 600 | reward: 2.0880 | episode length: 3.6481481481481484
episode: 201 | step: 800 | reward: 2.6739 | episode length: 4.391304347826087
episode: 252 | step: 1000 | reward: 2.2353 | episode length: 3.9411764705882355
episode: 306 | step: 1200 | reward: 2.0463 | episode length: 3.685185185185185
episode: 355 | step: 1400 | reward: 2.3061 | episode length: 4.061224489795919
episode: 403 | step: 1600 | reward: 2.4792 | episode length: 4.1875
episode: 455 | step: 1800 | reward: 2.1875 | episode length: 3.8653846153846154
episode: 508 | step: 2000 | reward: 2.1557 | episode length: 3.7358490566037736
episode: 560 | step: 2200 | reward: 2.1587 | episode length: 3.8846153846153846
episode: 609 | step: 2400 | reward: 2.3112 | episode length: 4.122448979591836
episode: 658 | step: 2600 | reward: 2.3367 | episode length: 4.081632653061225
episode: 710 | step: 2800 | reward: 2.2260 | episode length: 3.8461538461538463
episode: 755 | step: 3000 | reward: 2.4222 | episode length: 4.2444444444444445
episode: 806 | step: 3200 | reward: 2.2892 | episode length: 4.019607843137255
episode: 849 | step: 3400 | reward: 2.6744 | episode length: 4.674418604651163
episode: 901 | step: 3600 | reward: 2.1779 | episode length: 3.8653846153846154
episode: 951 | step: 3800 | reward: 2.2400 | episode length: 3.96
episode: 1008 | step: 4000 | reward: 2.0439 | episode length: 3.526315789473684
episode: 1064 | step: 4200 | reward: 2.0402 | episode length: 3.607142857142857
episode: 1116 | step: 4400 | reward: 2.2356 | episode length: 3.8653846153846154
episode: 1164 | step: 4600 | reward: 2.3490 | episode length: 4.104166666666667
episode: 1209 | step: 4800 | reward: 2.6333 | episode length: 4.466666666666667
episode: 1264 | step: 5000 | reward: 2.0864 | episode length: 3.6363636363636362
episode: 1320 | step: 5200 | reward: 2.0446 | episode length: 3.607142857142857
episode: 1376 | step: 5400 | reward: 2.0357 | episode length: 3.5714285714285716
episode: 1432 | step: 5600 | reward: 2.0089 | episode length: 3.5714285714285716
episode: 1484 | step: 5800 | reward: 2.2404 | episode length: 3.8076923076923075
episode: 1537 | step: 6000 | reward: 2.2453 | episode length: 3.811320754716981
