Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:340: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 52 | step: 200 | reward: 2.1058 | episode length: 3.826923076923077
episode: 106 | step: 400 | reward: 2.0648 | episode length: 3.6481481481481484
episode: 155 | step: 600 | reward: 2.3469 | episode length: 4.081632653061225
episode: 204 | step: 800 | reward: 2.4031 | episode length: 4.122448979591836
episode: 254 | step: 1000 | reward: 2.2250 | episode length: 3.96
episode: 307 | step: 1200 | reward: 2.2123 | episode length: 3.792452830188679
episode: 365 | step: 1400 | reward: 1.9483 | episode length: 3.4827586206896552
episode: 417 | step: 1600 | reward: 2.2163 | episode length: 3.8461538461538463
episode: 464 | step: 1800 | reward: 2.3617 | episode length: 4.23404255319149
episode: 517 | step: 2000 | reward: 2.1274 | episode length: 3.7358490566037736
episode: 566 | step: 2200 | reward: 2.3776 | episode length: 4.142857142857143
episode: 621 | step: 2400 | reward: 2.0455 | episode length: 3.5454545454545454
episode: 675 | step: 2600 | reward: 2.2500 | episode length: 3.7777777777777777
episode: 725 | step: 2800 | reward: 2.3150 | episode length: 3.98
episode: 778 | step: 3000 | reward: 2.2500 | episode length: 3.811320754716981
episode: 829 | step: 3200 | reward: 2.2402 | episode length: 3.8823529411764706
episode: 877 | step: 3400 | reward: 2.3958 | episode length: 4.145833333333333
episode: 923 | step: 3600 | reward: 2.5924 | episode length: 4.413043478260869
episode: 976 | step: 3800 | reward: 2.1415 | episode length: 3.7547169811320753
episode: 1026 | step: 4000 | reward: 2.3000 | episode length: 4.02
episode: 1071 | step: 4200 | reward: 2.4556 | episode length: 4.288888888888889
episode: 1124 | step: 4400 | reward: 2.1934 | episode length: 3.811320754716981
episode: 1179 | step: 4600 | reward: 2.0864 | episode length: 3.709090909090909
episode: 1230 | step: 4800 | reward: 2.2402 | episode length: 3.8823529411764706
episode: 1287 | step: 5000 | reward: 2.0044 | episode length: 3.526315789473684
episode: 1342 | step: 5200 | reward: 2.0909 | episode length: 3.6363636363636362
episode: 1393 | step: 5400 | reward: 2.2843 | episode length: 3.9019607843137254
episode: 1442 | step: 5600 | reward: 2.2806 | episode length: 4.020408163265306
episode: 1496 | step: 5800 | reward: 2.0648 | episode length: 3.7222222222222223
episode: 1547 | step: 6000 | reward: 2.2892 | episode length: 4.0
episode: 1596 | step: 6200 | reward: 2.3878 | episode length: 4.081632653061225
episode: 1643 | step: 6400 | reward: 2.5053 | episode length: 4.276595744680851
episode: 1693 | step: 6600 | reward: 2.3250 | episode length: 3.96
episode: 1745 | step: 6800 | reward: 2.1394 | episode length: 3.769230769230769
episode: 1799 | step: 7000 | reward: 2.2130 | episode length: 3.814814814814815
episode: 1848 | step: 7200 | reward: 2.2704 | episode length: 4.0
episode: 1901 | step: 7400 | reward: 2.0896 | episode length: 3.849056603773585
episode: 1955 | step: 7600 | reward: 2.1204 | episode length: 3.685185185185185
episode: 2006 | step: 7800 | reward: 2.1471 | episode length: 3.8627450980392157
episode: 2055 | step: 8000 | reward: 2.4133 | episode length: 4.142857142857143
episode: 2097 | step: 8200 | reward: 2.7857 | episode length: 4.761904761904762
episode: 2146 | step: 8400 | reward: 2.3112 | episode length: 4.0
episode: 2192 | step: 8600 | reward: 2.5543 | episode length: 4.456521739130435
episode: 2243 | step: 8800 | reward: 2.2451 | episode length: 3.803921568627451
episode: 2297 | step: 9000 | reward: 2.1620 | episode length: 3.7777777777777777
episode: 2347 | step: 9200 | reward: 2.2800 | episode length: 3.98
episode: 2399 | step: 9400 | reward: 2.2308 | episode length: 3.8461538461538463
episode: 2446 | step: 9600 | reward: 2.4521 | episode length: 4.319148936170213
episode: 2500 | step: 9800 | reward: 2.1204 | episode length: 3.7037037037037037
episode: 2555 | step: 10000 | reward: 1.9773 | episode length: 3.6
episode: 2605 | step: 10200 | reward: 2.3250 | episode length: 3.98
episode: 2656 | step: 10400 | reward: 2.2647 | episode length: 3.980392156862745
episode: 2707 | step: 10600 | reward: 2.1618 | episode length: 3.843137254901961
episode: 2762 | step: 10800 | reward: 2.0864 | episode length: 3.709090909090909
episode: 2818 | step: 11000 | reward: 2.0357 | episode length: 3.5357142857142856
episode: 2868 | step: 11200 | reward: 2.3200 | episode length: 4.04
episode: 2922 | step: 11400 | reward: 2.0787 | episode length: 3.685185185185185
episode: 2975 | step: 11600 | reward: 2.1415 | episode length: 3.792452830188679
episode: 3021 | step: 11800 | reward: 2.4076 | episode length: 4.195652173913044
episode: 3069 | step: 12000 | reward: 2.4635 | episode length: 4.291666666666667
episode: 3119 | step: 12200 | reward: 2.2550 | episode length: 4.02
episode: 3168 | step: 12400 | reward: 2.4082 | episode length: 4.061224489795919
episode: 3223 | step: 12600 | reward: 1.9955 | episode length: 3.5636363636363635
episode: 3279 | step: 12800 | reward: 1.9464 | episode length: 3.5357142857142856
episode: 3331 | step: 13000 | reward: 2.2788 | episode length: 3.9615384615384617
episode: 3376 | step: 13200 | reward: 2.5556 | episode length: 4.4222222222222225
episode: 3427 | step: 13400 | reward: 2.2157 | episode length: 3.8627450980392157
episode: 3483 | step: 13600 | reward: 2.0580 | episode length: 3.625
episode: 3534 | step: 13800 | reward: 2.2549 | episode length: 3.9411764705882355
episode: 3586 | step: 14000 | reward: 2.1490 | episode length: 3.826923076923077
episode: 3635 | step: 14200 | reward: 2.3724 | episode length: 4.081632653061225
episode: 3683 | step: 14400 | reward: 2.3333 | episode length: 4.166666666666667
episode: 3736 | step: 14600 | reward: 2.1321 | episode length: 3.641509433962264
episode: 3783 | step: 14800 | reward: 2.6223 | episode length: 4.382978723404255
episode: 3836 | step: 15000 | reward: 2.1981 | episode length: 3.811320754716981
episode: 3887 | step: 15200 | reward: 2.3137 | episode length: 3.9411764705882355
episode: 3932 | step: 15400 | reward: 2.6056 | episode length: 4.4222222222222225
episode: 3986 | step: 15600 | reward: 2.1157 | episode length: 3.7037037037037037
episode: 4037 | step: 15800 | reward: 2.1716 | episode length: 3.9411764705882355
episode: 4094 | step: 16000 | reward: 1.9868 | episode length: 3.508771929824561
episode: 4141 | step: 16200 | reward: 2.3723 | episode length: 4.212765957446808
episode: 4194 | step: 16400 | reward: 2.1840 | episode length: 3.811320754716981
episode: 4248 | step: 16600 | reward: 2.1157 | episode length: 3.611111111111111
episode: 4301 | step: 16800 | reward: 2.1745 | episode length: 3.7547169811320753
episode: 4353 | step: 17000 | reward: 2.2404 | episode length: 3.9038461538461537
episode: 4405 | step: 17200 | reward: 2.1731 | episode length: 3.8461538461538463
episode: 4457 | step: 17400 | reward: 2.2260 | episode length: 3.9038461538461537
episode: 4500 | step: 17600 | reward: 2.6512 | episode length: 4.627906976744186
episode: 4557 | step: 17800 | reward: 1.9868 | episode length: 3.473684210526316
episode: 4608 | step: 18000 | reward: 2.2402 | episode length: 3.9607843137254903
episode: 4657 | step: 18200 | reward: 2.3214 | episode length: 4.061224489795919
episode: 4708 | step: 18400 | reward: 2.1471 | episode length: 3.9019607843137254
episode: 4761 | step: 18600 | reward: 2.3113 | episode length: 3.830188679245283
episode: 4809 | step: 18800 | reward: 2.3594 | episode length: 4.104166666666667
episode: 4859 | step: 19000 | reward: 2.3800 | episode length: 4.06
episode: 4906 | step: 19200 | reward: 2.4734 | episode length: 4.25531914893617
episode: 4966 | step: 19400 | reward: 1.9250 | episode length: 3.3333333333333335
episode: 5016 | step: 19600 | reward: 2.2850 | episode length: 3.98
episode: 5067 | step: 19800 | reward: 2.2353 | episode length: 3.9019607843137254
episode: 5116 | step: 20000 | reward: 2.2857 | episode length: 4.081632653061225
episode: 5170 | step: 20200 | reward: 2.1250 | episode length: 3.7222222222222223
episode: 5222 | step: 20400 | reward: 2.1827 | episode length: 3.826923076923077
episode: 5277 | step: 20600 | reward: 2.0136 | episode length: 3.6545454545454548
episode: 5326 | step: 20800 | reward: 2.3622 | episode length: 4.081632653061225
episode: 5378 | step: 21000 | reward: 2.2163 | episode length: 3.8461538461538463
episode: 5432 | step: 21200 | reward: 2.2037 | episode length: 3.6666666666666665
episode: 5481 | step: 21400 | reward: 2.3673 | episode length: 4.142857142857143
episode: 5534 | step: 21600 | reward: 2.1462 | episode length: 3.7735849056603774
episode: 5586 | step: 21800 | reward: 2.2260 | episode length: 3.826923076923077
episode: 5637 | step: 22000 | reward: 2.1471 | episode length: 3.8823529411764706
episode: 5695 | step: 22200 | reward: 1.9784 | episode length: 3.5
episode: 5745 | step: 22400 | reward: 2.2950 | episode length: 3.96
episode: 5799 | step: 22600 | reward: 2.1481 | episode length: 3.7037037037037037
episode: 5853 | step: 22800 | reward: 2.1528 | episode length: 3.7222222222222223
episode: 5900 | step: 23000 | reward: 2.4681 | episode length: 4.23404255319149
episode: 5951 | step: 23200 | reward: 2.2451 | episode length: 3.9607843137254903
episode: 6004 | step: 23400 | reward: 2.0660 | episode length: 3.6792452830188678
episode: 6055 | step: 23600 | reward: 2.3578 | episode length: 4.0
episode: 6107 | step: 23800 | reward: 2.2115 | episode length: 3.8653846153846154
episode: 6162 | step: 24000 | reward: 2.1682 | episode length: 3.6363636363636362
episode: 6219 | step: 24200 | reward: 1.9912 | episode length: 3.491228070175439
episode: 6270 | step: 24400 | reward: 2.2206 | episode length: 3.9215686274509802
episode: 6322 | step: 24600 | reward: 2.2212 | episode length: 3.8653846153846154
episode: 6376 | step: 24800 | reward: 2.1667 | episode length: 3.7037037037037037
episode: 6429 | step: 25000 | reward: 2.1132 | episode length: 3.7358490566037736
episode: 6478 | step: 25200 | reward: 2.3418 | episode length: 4.1020408163265305
episode: 6527 | step: 25400 | reward: 2.2602 | episode length: 4.081632653061225
episode: 6579 | step: 25600 | reward: 2.0817 | episode length: 3.75
episode: 6631 | step: 25800 | reward: 2.3510 | episode length: 3.923076923076923
episode: 6687 | step: 26000 | reward: 2.0714 | episode length: 3.5714285714285716
episode: 6741 | step: 26200 | reward: 2.1620 | episode length: 3.740740740740741
episode: 6790 | step: 26400 | reward: 2.3163 | episode length: 4.061224489795919
episode: 6846 | step: 26600 | reward: 2.0848 | episode length: 3.5714285714285716
episode: 6896 | step: 26800 | reward: 2.2150 | episode length: 3.96
episode: 6946 | step: 27000 | reward: 2.2400 | episode length: 3.96
episode: 7002 | step: 27200 | reward: 2.0268 | episode length: 3.642857142857143
episode: 7053 | step: 27400 | reward: 2.2451 | episode length: 3.9411764705882355
episode: 7112 | step: 27600 | reward: 1.9619 | episode length: 3.389830508474576
episode: 7165 | step: 27800 | reward: 2.1934 | episode length: 3.7547169811320753
episode: 7215 | step: 28000 | reward: 2.3600 | episode length: 3.96
episode: 7264 | step: 28200 | reward: 2.3929 | episode length: 4.081632653061225
episode: 7318 | step: 28400 | reward: 2.1250 | episode length: 3.7037037037037037
episode: 7370 | step: 28600 | reward: 2.1490 | episode length: 3.7884615384615383
episode: 7420 | step: 28800 | reward: 2.2550 | episode length: 4.08
episode: 7474 | step: 29000 | reward: 2.1065 | episode length: 3.7222222222222223
episode: 7528 | step: 29200 | reward: 2.1435 | episode length: 3.7222222222222223
episode: 7577 | step: 29400 | reward: 2.3214 | episode length: 4.020408163265306
episode: 7627 | step: 29600 | reward: 2.2600 | episode length: 4.04
episode: 7681 | step: 29800 | reward: 2.1574 | episode length: 3.7037037037037037
episode: 7737 | step: 30000 | reward: 2.0536 | episode length: 3.5892857142857144
episode: 7785 | step: 30200 | reward: 2.2760 | episode length: 4.104166666666667
episode: 7834 | step: 30400 | reward: 2.3724 | episode length: 4.142857142857143
episode: 7881 | step: 30600 | reward: 2.4255 | episode length: 4.212765957446808
episode: 7931 | step: 30800 | reward: 2.2450 | episode length: 4.02
episode: 7980 | step: 31000 | reward: 2.4031 | episode length: 4.1020408163265305
episode: 8029 | step: 31200 | reward: 2.3469 | episode length: 4.0
episode: 8088 | step: 31400 | reward: 1.9788 | episode length: 3.440677966101695
episode: 8140 | step: 31600 | reward: 2.1538 | episode length: 3.8461538461538463
episode: 8189 | step: 31800 | reward: 2.2347 | episode length: 4.081632653061225
episode: 8241 | step: 32000 | reward: 2.1346 | episode length: 3.8653846153846154
episode: 8294 | step: 32200 | reward: 2.2311 | episode length: 3.7735849056603774
episode: 8345 | step: 32400 | reward: 2.1078 | episode length: 3.843137254901961
episode: 8395 | step: 32600 | reward: 2.2050 | episode length: 4.0
episode: 8451 | step: 32800 | reward: 2.0625 | episode length: 3.607142857142857
episode: 8501 | step: 33000 | reward: 2.1350 | episode length: 4.0
episode: 8552 | step: 33200 | reward: 2.2500 | episode length: 3.9411764705882355
episode: 8609 | step: 33400 | reward: 2.0132 | episode length: 3.526315789473684
episode: 8665 | step: 33600 | reward: 2.0268 | episode length: 3.482142857142857
