Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:369: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 51 | step: 200 | reward: -2.0510 | episode length: 3.8627450980392157
episode: 100 | step: 400 | reward: -2.4469 | episode length: 4.1020408163265305
episode: 150 | step: 600 | reward: -2.6990 | episode length: 4.02
episode: 201 | step: 800 | reward: -2.5020 | episode length: 3.8823529411764706
episode: 251 | step: 1000 | reward: -2.0880 | episode length: 4.02
episode: 297 | step: 1200 | reward: -2.5717 | episode length: 4.3478260869565215
episode: 350 | step: 1400 | reward: -2.5292 | episode length: 3.7735849056603774
episode: 401 | step: 1600 | reward: -2.4520 | episode length: 3.9215686274509802
episode: 450 | step: 1800 | reward: -2.4143 | episode length: 4.1020408163265305
episode: 497 | step: 2000 | reward: -2.4936 | episode length: 4.25531914893617
episode: 542 | step: 2200 | reward: -2.4689 | episode length: 4.355555555555555
episode: 591 | step: 2400 | reward: -2.6602 | episode length: 4.122448979591836
episode: 639 | step: 2600 | reward: -2.1167 | episode length: 4.1875
episode: 696 | step: 2800 | reward: -2.0535 | episode length: 3.526315789473684
episode: 752 | step: 3000 | reward: -2.2000 | episode length: 3.5535714285714284
episode: 799 | step: 3200 | reward: -2.3511 | episode length: 4.25531914893617
episode: 854 | step: 3400 | reward: -2.4109 | episode length: 3.6545454545454548
episode: 900 | step: 3600 | reward: -2.9446 | episode length: 4.260869565217392
episode: 952 | step: 3800 | reward: -2.7048 | episode length: 3.8846153846153846
episode: 1003 | step: 4000 | reward: -2.1863 | episode length: 3.9019607843137254
episode: 1050 | step: 4200 | reward: -2.0968 | episode length: 4.319148936170213
episode: 1102 | step: 4400 | reward: -2.9288 | episode length: 3.8076923076923075
episode: 1151 | step: 4600 | reward: -1.8449 | episode length: 4.1020408163265305
episode: 1197 | step: 4800 | reward: -2.4402 | episode length: 4.326086956521739
episode: 1254 | step: 5000 | reward: -2.5149 | episode length: 3.543859649122807
episode: 1296 | step: 5200 | reward: -2.5452 | episode length: 4.690476190476191
episode: 1345 | step: 5400 | reward: -2.4673 | episode length: 4.142857142857143
episode: 1400 | step: 5600 | reward: -2.4164 | episode length: 3.618181818181818
episode: 1455 | step: 5800 | reward: -2.0391 | episode length: 3.5272727272727273
episode: 1515 | step: 6000 | reward: -2.7825 | episode length: 3.45
episode: 1569 | step: 6200 | reward: -2.6778 | episode length: 3.6666666666666665
episode: 1616 | step: 6400 | reward: -2.3309 | episode length: 4.276595744680851
episode: 1670 | step: 6600 | reward: -2.2204 | episode length: 3.7037037037037037
episode: 1725 | step: 6800 | reward: -2.7018 | episode length: 3.618181818181818
episode: 1772 | step: 7000 | reward: -2.0394 | episode length: 4.212765957446808
episode: 1823 | step: 7200 | reward: -1.9647 | episode length: 4.0
episode: 1873 | step: 7400 | reward: -2.1490 | episode length: 3.94
episode: 1924 | step: 7600 | reward: -2.1382 | episode length: 3.9607843137254903
episode: 1980 | step: 7800 | reward: -2.6777 | episode length: 3.5357142857142856
episode: 2036 | step: 8000 | reward: -2.2768 | episode length: 3.5714285714285716
episode: 2086 | step: 8200 | reward: -2.0780 | episode length: 4.02
episode: 2142 | step: 8400 | reward: -2.3000 | episode length: 3.607142857142857
episode: 2198 | step: 8600 | reward: -2.6348 | episode length: 3.5714285714285716
episode: 2249 | step: 8800 | reward: -2.3902 | episode length: 3.9019607843137254
episode: 2300 | step: 9000 | reward: -2.4088 | episode length: 3.9019607843137254
episode: 2346 | step: 9200 | reward: -2.5370 | episode length: 4.304347826086956
episode: 2402 | step: 9400 | reward: -2.5518 | episode length: 3.642857142857143
episode: 2456 | step: 9600 | reward: -2.4648 | episode length: 3.685185185185185
episode: 2506 | step: 9800 | reward: -2.2920 | episode length: 3.96
episode: 2559 | step: 10000 | reward: -2.0849 | episode length: 3.830188679245283
episode: 2606 | step: 10200 | reward: -2.3170 | episode length: 4.25531914893617
episode: 2655 | step: 10400 | reward: -2.3194 | episode length: 4.020408163265306
episode: 2709 | step: 10600 | reward: -2.1398 | episode length: 3.7037037037037037
episode: 2762 | step: 10800 | reward: -2.5330 | episode length: 3.811320754716981
episode: 2812 | step: 11000 | reward: -2.4860 | episode length: 4.02
episode: 2863 | step: 11200 | reward: -2.7353 | episode length: 3.9215686274509802
episode: 2914 | step: 11400 | reward: -2.1069 | episode length: 3.8823529411764706
episode: 2963 | step: 11600 | reward: -2.2714 | episode length: 4.1020408163265305
episode: 3018 | step: 11800 | reward: -2.3600 | episode length: 3.6363636363636362
episode: 3075 | step: 12000 | reward: -2.5263 | episode length: 3.473684210526316
episode: 3122 | step: 12200 | reward: -2.6979 | episode length: 4.297872340425532
episode: 3174 | step: 12400 | reward: -2.0981 | episode length: 3.8653846153846154
episode: 3225 | step: 12600 | reward: -2.1961 | episode length: 3.9215686274509802
episode: 3277 | step: 12800 | reward: -2.2327 | episode length: 3.8461538461538463
episode: 3332 | step: 13000 | reward: -2.0082 | episode length: 3.6363636363636362
episode: 3383 | step: 13200 | reward: -2.3588 | episode length: 3.9215686274509802
episode: 3434 | step: 13400 | reward: -2.2255 | episode length: 3.8823529411764706
episode: 3492 | step: 13600 | reward: -2.2569 | episode length: 3.4655172413793105
episode: 3544 | step: 13800 | reward: -2.6279 | episode length: 3.7884615384615383
episode: 3591 | step: 14000 | reward: -2.5021 | episode length: 4.276595744680851
episode: 3640 | step: 14200 | reward: -2.2337 | episode length: 4.142857142857143
episode: 3692 | step: 14400 | reward: -2.2990 | episode length: 3.826923076923077
episode: 3742 | step: 14600 | reward: -2.5250 | episode length: 3.98
episode: 3796 | step: 14800 | reward: -2.6472 | episode length: 3.6481481481481484
episode: 3845 | step: 15000 | reward: -2.3510 | episode length: 4.183673469387755
episode: 3899 | step: 15200 | reward: -2.5241 | episode length: 3.6666666666666665
episode: 3950 | step: 15400 | reward: -2.4343 | episode length: 3.9019607843137254
episode: 4005 | step: 15600 | reward: -2.0173 | episode length: 3.672727272727273
episode: 4057 | step: 15800 | reward: -2.1423 | episode length: 3.826923076923077
episode: 4109 | step: 16000 | reward: -2.5923 | episode length: 3.8653846153846154
episode: 4158 | step: 16200 | reward: -2.4796 | episode length: 4.040816326530612
episode: 4206 | step: 16400 | reward: -2.6396 | episode length: 4.1875
episode: 4257 | step: 16600 | reward: -2.5373 | episode length: 3.8627450980392157
episode: 4308 | step: 16800 | reward: -2.5902 | episode length: 3.980392156862745
episode: 4361 | step: 17000 | reward: -2.3906 | episode length: 3.792452830188679
episode: 4411 | step: 17200 | reward: -2.1640 | episode length: 3.98
episode: 4468 | step: 17400 | reward: -2.3579 | episode length: 3.473684210526316
episode: 4516 | step: 17600 | reward: -2.3885 | episode length: 4.166666666666667
episode: 4569 | step: 17800 | reward: -2.4245 | episode length: 3.849056603773585
episode: 4621 | step: 18000 | reward: -2.5385 | episode length: 3.7884615384615383
episode: 4672 | step: 18200 | reward: -2.1186 | episode length: 3.9411764705882355
episode: 4724 | step: 18400 | reward: -2.1548 | episode length: 3.8846153846153846
episode: 4775 | step: 18600 | reward: -2.2539 | episode length: 3.9215686274509802
episode: 4825 | step: 18800 | reward: -2.2720 | episode length: 3.94
episode: 4874 | step: 19000 | reward: -2.4357 | episode length: 4.122448979591836
episode: 4923 | step: 19200 | reward: -2.3939 | episode length: 4.040816326530612
episode: 4972 | step: 19400 | reward: -2.0071 | episode length: 4.1020408163265305
episode: 5026 | step: 19600 | reward: -2.6861 | episode length: 3.7037037037037037
episode: 5077 | step: 19800 | reward: -2.6892 | episode length: 3.9607843137254903
episode: 5127 | step: 20000 | reward: -2.1100 | episode length: 3.96
episode: 5177 | step: 20200 | reward: -2.5700 | episode length: 3.98
episode: 5230 | step: 20400 | reward: -2.2717 | episode length: 3.792452830188679
episode: 5281 | step: 20600 | reward: -2.4059 | episode length: 3.8823529411764706
episode: 5335 | step: 20800 | reward: -2.1556 | episode length: 3.7222222222222223
episode: 5387 | step: 21000 | reward: -2.2125 | episode length: 3.9038461538461537
episode: 5441 | step: 21200 | reward: -2.3769 | episode length: 3.6666666666666665
episode: 5492 | step: 21400 | reward: -2.1539 | episode length: 3.9607843137254903
episode: 5543 | step: 21600 | reward: -2.7265 | episode length: 3.9215686274509802
episode: 5594 | step: 21800 | reward: -2.2725 | episode length: 3.8627450980392157
episode: 5649 | step: 22000 | reward: -2.1091 | episode length: 3.6545454545454548
episode: 5696 | step: 22200 | reward: -2.2915 | episode length: 4.276595744680851
episode: 5748 | step: 22400 | reward: -2.3740 | episode length: 3.8461538461538463
episode: 5793 | step: 22600 | reward: -2.6344 | episode length: 4.4
episode: 5844 | step: 22800 | reward: -2.1559 | episode length: 3.9411764705882355
episode: 5897 | step: 23000 | reward: -2.3481 | episode length: 3.792452830188679
episode: 5948 | step: 23200 | reward: -2.4627 | episode length: 3.9019607843137254
episode: 6003 | step: 23400 | reward: -2.3082 | episode length: 3.672727272727273
episode: 6060 | step: 23600 | reward: -2.4728 | episode length: 3.491228070175439
episode: 6113 | step: 23800 | reward: -2.1726 | episode length: 3.7169811320754715
episode: 6164 | step: 24000 | reward: -2.8873 | episode length: 4.0
episode: 6217 | step: 24200 | reward: -2.3877 | episode length: 3.7358490566037736
episode: 6266 | step: 24400 | reward: -3.0378 | episode length: 4.1020408163265305
episode: 6318 | step: 24600 | reward: -2.5096 | episode length: 3.8076923076923075
episode: 6369 | step: 24800 | reward: -2.5461 | episode length: 3.9215686274509802
episode: 6417 | step: 25000 | reward: -2.3240 | episode length: 4.1875
episode: 6468 | step: 25200 | reward: -2.2745 | episode length: 3.9607843137254903
episode: 6514 | step: 25400 | reward: -2.1598 | episode length: 4.326086956521739
episode: 6564 | step: 25600 | reward: -2.1830 | episode length: 4.02
episode: 6617 | step: 25800 | reward: -2.7028 | episode length: 3.7358490566037736
episode: 6668 | step: 26000 | reward: -2.3775 | episode length: 3.9215686274509802
episode: 6722 | step: 26200 | reward: -2.2759 | episode length: 3.685185185185185
episode: 6774 | step: 26400 | reward: -2.2567 | episode length: 3.8846153846153846
episode: 6830 | step: 26600 | reward: -2.7964 | episode length: 3.5535714285714284
episode: 6885 | step: 26800 | reward: -2.2627 | episode length: 3.672727272727273
episode: 6938 | step: 27000 | reward: -2.6113 | episode length: 3.660377358490566
episode: 6993 | step: 27200 | reward: -2.7982 | episode length: 3.690909090909091
episode: 7046 | step: 27400 | reward: -2.3821 | episode length: 3.830188679245283
episode: 7101 | step: 27600 | reward: -2.3455 | episode length: 3.618181818181818
episode: 7147 | step: 27800 | reward: -2.3500 | episode length: 4.304347826086956
episode: 7201 | step: 28000 | reward: -2.4898 | episode length: 3.740740740740741
episode: 7256 | step: 28200 | reward: -2.5227 | episode length: 3.6545454545454548
episode: 7309 | step: 28400 | reward: -2.3226 | episode length: 3.7358490566037736
episode: 7358 | step: 28600 | reward: -2.5990 | episode length: 4.040816326530612
episode: 7406 | step: 28800 | reward: -2.3740 | episode length: 4.1875
episode: 7453 | step: 29000 | reward: -2.0968 | episode length: 4.297872340425532
episode: 7504 | step: 29200 | reward: -2.1255 | episode length: 3.9411764705882355
episode: 7553 | step: 29400 | reward: -2.3010 | episode length: 4.040816326530612
episode: 7601 | step: 29600 | reward: -2.3448 | episode length: 4.145833333333333
